Country Name,Country Code,Year,Value
Burkina Faso,BFA,2014,12542969275.204
Burundi,BDI,2014,3093647293.47661
Cabo Verde,CPV,2014,1871187333.50311
Cambodia,KHM,2014,16709432402.6502
Cameroon,CMR,2014,32548591285.8631
Canada,CAN,2014,1786655064509.53
Central African Republic,CAF,2014,1782927902.67286
Chad,TCD,2014,13922224560.7939
Chile,CHL,2014,258061522886.545
China,CHN,2014,10360105247908.3
Colombia,COL,2014,377739622865.838
Comoros,COM,2014,647720102.467518
"Congo, Dem. Rep.",COD,2014,32962261155.6762
"Congo, Rep.",COG,2014,14135462555.8413
Costa Rica,CRI,2014,49552580683.1461
Cote d'Ivoire,CIV,2014,34253611098.3199
Croatia,HRV,2014,57222574023.1725
Cyprus,CYP,2014,23226158986.1653
Czech Republic,CZE,2014,205522871251.355
Denmark,DNK,2014,341951607730.409
Djibouti,DJI,2014,1581519705.53068
Dominica,DMA,2014,537777777.777778
Dominican Republic,DOM,2014,63968961563.0973
Ecuador,ECU,2014,100543173000
"Egypt, Arab Rep.",EGY,2014,286538047765.904
El Salvador,SLV,2014,25220000000
Equatorial Guinea,GNQ,2014,14308094224.6898
Eritrea,ERI,2014,3857821138.21138
Estonia,EST,2014,25904874312.3244
Ethiopia,ETH,2014,54797679657.5454
Fiji,FJI,2014,4029989728.8257
Finland,FIN,2014,270673584161.517
France,FRA,2014,2829192039171.84
Gabon,GAB,2014,17228443336.3648
"Gambia, The",GMB,2014,807069488.191619
Georgia,GEO,2014,16529963187.4044
Germany,DEU,2014,3852556169656.01
Ghana,GHA,2014,38648154100.3714
Greece,GRC,2014,237592274370.978
Grenada,GRD,2014,882222222.222222
Guatemala,GTM,2014,58728232327.1514
Guinea,GIN,2014,6624068036.98528
Guinea-Bissau,GNB,2014,1022371991.53467
Guyana,GUY,2014,3228372887.85813
Haiti,HTI,2014,8713031260.18934
Honduras,HND,2014,19385309985.8022
"Hong Kong SAR, China",HKG,2014,290896409543.744
Hungary,HUN,2014,137103927312.973
Iceland,ISL,2014,17071004499.1576
India,IND,2014,2066902397333.26
Indonesia,IDN,2014,888538201025.345
"Iran, Islamic Rep.",IRN,2014,415338504536.257
Iraq,IRQ,2014,220505682865.352
Ireland,IRL,2014,245920712756.466
Israel,ISR,2014,304226336270.324
Italy,ITA,2014,2144338185064.6
Japan,JPN,2014,4601461206885.08
Jordan,JOR,2014,35826925774.6479
Kazakhstan,KAZ,2014,212247913268.304
Kenya,KEN,2014,60936509777.9628
Kiribati,KIR,2014,166762323.638814
"Korea, Rep.",KOR,2014,1410382943972.78
Kosovo,,2014,7273849011.54305
Kyrgyz Republic,KGZ,2014,7404412710.30546
Lao PDR,LAO,2014,11771725797.6299
Latvia,LVA,2014,31920815648.3043
Lebanon,LBN,2014,45730945273.6318
Lesotho,LSO,2014,2088021624.11197
Liberia,LBR,2014,2026939595.31543
Libya,LBY,2014,41119144922.9802
Lithuania,LTU,2014,48172242517.2682
"Macao SAR, China",MAC,2014,55501532528.1462
"Macedonia, FYR",MKD,2014,11323761623.5387
Madagascar,MDG,2014,10593147526.9354
Malawi,MWI,2014,4258033615.3005
Malaysia,MYS,2014,326933043800.609
Maldives,MDV,2014,3032239478.11955
Mali,MLI,2014,12074473001.8115
Mauritania,MRT,2014,5061180371.04941
Mauritius,MUS,2014,12616421088.3821
Mexico,MEX,2014,1282719954861.76
Moldova,MDA,2014,7944184929.75006
Mongolia,MNG,2014,12015944336.5464
Montenegro,MNE,2014,4583198885.49821
Morocco,MAR,2014,107004984356.97
Mozambique,MOZ,2014,16385584919.0022
Myanmar,MMR,2014,64330038664.7327
Namibia,NAM,2014,13429503284.8968
Nepal,NPL,2014,19636186469.3257
Netherlands,NLD,2014,869508125480.255
Nicaragua,NIC,2014,11805641286.8034
Niger,NER,2014,8168695869.86641
Nigeria,NGA,2014,568508262377.799
Norway,NOR,2014,500103094419.465
Oman,OMN,2014,81796618985.6957
Pakistan,PAK,2014,246876324188.576
Palau,PLW,2014,250625562.7941
Panama,PAN,2014,46212600000
Paraguay,PRY,2014,30984747863.3426
Peru,PER,2014,202902760292.698
Philippines,PHL,2014,284582023120.566
Poland,POL,2014,548003360278.967
Portugal,PRT,2014,229583711490.434
Qatar,QAT,2014,211816758241.758
Romania,ROU,2014,199043652215.454
Russian Federation,RUS,2014,1860597922763.44
Rwanda,RWA,2014,7890190336.74963
Samoa,WSM,2014,800586671.241101
Sao Tome and Principe,STP,2014,334902362.05695
Saudi Arabia,SAU,2014,746248533333.333
Senegal,SEN,2014,15578916865.3864
Serbia,SRB,2014,43866423166.9368
Seychelles,SYC,2014,1405764157.88183
Sierra Leone,SLE,2014,4892363979.22805
Singapore,SGP,2014,307871907185.983
Slovak Republic,SVK,2014,99790145652.7711
Slovenia,SVN,2014,49416055609.2127
Solomon Islands,SLB,2014,1158183053.76032
South Africa,ZAF,2014,349817096206.474
South Sudan,SSD,2014,13069991258.2682
Spain,ESP,2014,1404306536057.92
Sri Lanka,LKA,2014,74941183241.9535
St. Kitts and Nevis,KNA,2014,833333333.333333
St. Lucia,LCA,2014,1365426555.55556
St. Vincent and the Grenadines,VCT,2014,728696703.703704
Sudan,SDN,2014,73815376184.622
Swaziland,SWZ,2014,3400422936.22785
Sweden,SWE,2014,570591266159.776
Tajikistan,TJK,2014,9241627840.60748
Tanzania,TZA,2014,49183884817.4917
Thailand,THA,2014,373804134911.797
Timor-Leste,TLS,2014,1552000000
Togo,TGO,2014,4518443907.44505
Tonga,TON,2014,434386307.693101
Turkey,TUR,2014,799534963353.895
Turkmenistan,TKM,2014,47931929824.5614
Uganda,UGA,2014,26312399301.4086
Ukraine,UKR,2014,131805126738.287
United Arab Emirates,ARE,2014,401646583173.427
United Kingdom,GBR,2014,2941885537461.48
United States,USA,2014,17419000000000
Uruguay,URY,2014,57471277325.1312
Uzbekistan,UZB,2014,62643953021.7594
"Venezuela, RB",VEN,2014,509964084931.332
Vietnam,VNM,2014,186204652922.262
West Bank and Gaza,PSE,2014,12737613125.0175
Zambia,ZMB,2014,27066230009.1016
Zimbabwe,ZWE,2014,13663314279.6683
